ARIMA (2, 1, 1) - Italy	<built-in method ctime of datetime.datetime object at 0x7fca60aa4f60>	0.013	0.134	0.089	0.316	0.719	-2.267
ARIMA (2, 1, 1) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422221b0>	0.013	0.134	0.089	0.316	0.719	-2.267
ARIMA (2, 1, 2) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422225d0>	0.012	0.148	0.086	0.333	0.729	-2.606
ARIMA (2, 1, 3) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222150>	0.013	0.129	0.088	0.31	0.721	-2.146
ARIMA (2, 1, 4) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222c00>	0.007	0.089	0.064	0.26	0.847	-1.164
ARIMA (2, 1, 5) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422227b0>	0.01	0.103	0.079	0.273	0.782	-1.513
ARIMA (2, 1, 6) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222180>	0.01	0.107	0.077	0.28	0.782	-1.616
ARIMA (2, 1, 7) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422223c0>	0.01	0.138	0.076	0.318	0.789	-2.361
ARIMA (2, 1, 8) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222810>	0.009	0.137	0.075	0.314	0.804	-2.327
ARIMA (2, 1, 9) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222150>	0.009	0.134	0.075	0.311	0.803	-2.253
ARIMA (2, 1, 10) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222930>	0.008	0.146	0.072	0.328	0.818	-2.541
ARIMA (2, 1, 11) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222cc0>	0.008	0.142	0.071	0.322	0.82	-2.444
ARIMA (2, 1, 12) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222390>	0.007	0.28	0.066	0.483	0.844	-5.819
ARIMA (2, 1, 13) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222ab0>	0.007	0.117	0.062	0.289	0.858	-1.844
ARIMA (2, 1, 14) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222810>	0.007	0.114	0.062	0.285	0.858	-1.777
ARIMA (2, 1, 15) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222c90>	0.007	0.113	0.061	0.283	0.858	-1.758
ARIMA (2, 1, 16) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222cf0>	0.007	0.115	0.061	0.284	0.859	-1.791
ARIMA (2, 1, 17) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222570>	0.006	0.118	0.061	0.29	0.86	-1.861
ARIMA (2, 1, 18) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422221b0>	0.006	0.116	0.061	0.287	0.862	-1.819
ARIMA (2, 1, 19) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222ab0>	0.006	0.107	0.06	0.273	0.866	-1.605
ARIMA (2, 1, 20) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422227b0>	0.006	0.108	0.059	0.274	0.867	-1.625
ARIMA (2, 1, 21) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222cc0>	0.006	0.107	0.059	0.272	0.867	-1.592
ARIMA (2, 1, 22) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222a80>	0.006	0.094	0.059	0.253	0.875	-1.28
ARIMA (2, 1, 23) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422223c0>	0.006	0.095	0.059	0.255	0.875	-1.306
ARIMA (2, 1, 24) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222cc0>	0.006	0.088	0.057	0.245	0.878	-1.139
ARIMA (2, 2, 1) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222150>	0.013	0.108	0.09	0.277	0.714	-1.622
ARIMA (2, 2, 2) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222a80>	0.013	0.099	0.091	0.264	0.726	-1.399
ARIMA (2, 2, 3) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422225d0>	0.013	0.119	0.087	0.292	0.717	-1.886
ARIMA (2, 2, 4) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222570>	0.012	0.087	0.089	0.246	0.733	-1.111
ARIMA (2, 2, 5) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222ba0>	0.012	0.128	0.084	0.306	0.732	-2.123
ARIMA (2, 2, 6) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222c60>	0.012	0.09	0.084	0.247	0.749	-1.195
ARIMA (2, 2, 7) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222d20>	0.011	0.087	0.082	0.245	0.767	-1.11
ARIMA (2, 2, 8) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222a80>	0.009	0.077	0.074	0.227	0.805	-0.886
ARIMA (2, 2, 9) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422225a0>	0.01	0.077	0.078	0.227	0.784	-0.87
ARIMA (2, 2, 10) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222d20>	0.009	0.072	0.074	0.219	0.802	-0.756
ARIMA (2, 2, 11) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422223c0>	0.008	0.137	0.069	0.314	0.825	-2.332
ARIMA (2, 2, 12) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422229f0>	0.008	0.081	0.069	0.234	0.821	-0.971
ARIMA (2, 2, 13) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422226c0>	0.008	0.119	0.068	0.292	0.827	-1.892
ARIMA (2, 2, 14) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222b40>	0.007	0.166	0.064	0.353	0.843	-3.037
ARIMA (2, 2, 15) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222cf0>	0.007	0.151	0.062	0.334	0.85	-2.681
ARIMA (2, 2, 16) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422226c0>	0.007	0.148	0.063	0.329	0.849	-2.606
ARIMA (2, 2, 17) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222510>	0.007	0.151	0.062	0.332	0.847	-2.671
ARIMA (2, 2, 18) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222810>	0.007	0.187	0.063	0.379	0.847	-3.557
ARIMA (2, 2, 19) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222d20>	0.007	0.103	0.062	0.267	0.856	-1.499
ARIMA (2, 2, 20) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222c00>	0.006	0.111	0.06	0.279	0.861	-1.711
ARIMA (2, 2, 21) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422223c0>	0.006	0.108	0.06	0.274	0.86	-1.622
ARIMA (2, 2, 22) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422226f0>	0.006	0.105	0.061	0.271	0.86	-1.564
ARIMA (2, 2, 23) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422226c0>	0.006	0.103	0.061	0.27	0.863	-1.513
ARIMA (2, 2, 24) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422223c0>	0.006	0.112	0.057	0.281	0.87	-1.721
ARIMA (3, 1, 1) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222b70>	0.011	0.096	0.078	0.26	0.768	-1.346
ARIMA (3, 1, 2) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222d20>	0.008	0.093	0.064	0.269	0.836	-1.253
ARIMA (3, 1, 3) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222a80>	0.012	0.15	0.085	0.334	0.736	-2.643
ARIMA (3, 1, 4) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222810>	0.007	0.081	0.062	0.25	0.857	-0.969
ARIMA (3, 1, 5) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222180>	0.01	0.108	0.077	0.28	0.778	-1.628
ARIMA (3, 1, 6) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222c00>	0.007	0.089	0.062	0.259	0.856	-1.155
ARIMA (3, 1, 7) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422226c0>	0.01	0.128	0.077	0.306	0.789	-2.123
ARIMA (3, 1, 8) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222c60>	0.009	0.139	0.075	0.316	0.804	-2.391
ARIMA (3, 1, 9) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222570>	0.009	0.138	0.075	0.314	0.804	-2.366
ARIMA (3, 1, 10) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222b70>	0.006	0.092	0.062	0.264	0.864	-1.233
ARIMA (3, 1, 11) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222b40>	0.007	0.089	0.063	0.254	0.855	-1.169
ARIMA (3, 1, 12) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222ae0>	0.007	0.275	0.066	0.478	0.844	-5.692
ARIMA (3, 1, 13) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222cc0>	0.007	0.108	0.061	0.273	0.859	-1.62
ARIMA (3, 1, 14) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222cf0>	0.007	0.115	0.062	0.285	0.858	-1.787
ARIMA (3, 1, 15) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222a50>	0.007	0.114	0.061	0.284	0.858	-1.778
ARIMA (3, 1, 16) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222150>	0.006	0.114	0.061	0.283	0.859	-1.772
ARIMA (3, 1, 17) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222c90>	0.006	0.117	0.061	0.289	0.861	-1.836
ARIMA (3, 1, 18) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422229f0>	0.006	0.115	0.061	0.286	0.862	-1.802
ARIMA (3, 1, 19) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222cc0>	0.006	0.107	0.06	0.274	0.868	-1.609
ARIMA (3, 1, 20) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222ae0>	0.006	0.105	0.059	0.27	0.868	-1.555
ARIMA (3, 1, 21) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222c00>	0.006	0.105	0.06	0.27	0.868	-1.553
ARIMA (3, 1, 22) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222810>	0.006	0.094	0.058	0.253	0.876	-1.279
ARIMA (3, 1, 23) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222180>	0.006	0.096	0.058	0.256	0.876	-1.324
ARIMA (3, 1, 24) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422223f0>	0.006	0.087	0.057	0.244	0.878	-1.112
ARIMA (3, 2, 1) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422226f0>	0.013	0.108	0.09	0.277	0.714	-1.629
ARIMA (3, 2, 2) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422227b0>	0.012	0.095	0.09	0.259	0.729	-1.321
ARIMA (3, 2, 3) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222150>	0.013	0.109	0.09	0.279	0.714	-1.647
ARIMA (3, 2, 4) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222ba0>	0.012	0.112	0.087	0.283	0.742	-1.717
ARIMA (3, 2, 5) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222ab0>	0.012	0.086	0.088	0.242	0.741	-1.104
ARIMA (3, 2, 6) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222570>	0.012	0.072	0.083	0.218	0.75	-0.754
ARIMA (3, 2, 7) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222510>	0.012	0.078	0.086	0.23	0.742	-0.902
ARIMA (3, 2, 8) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222d20>	0.009	0.086	0.074	0.24	0.801	-1.09
ARIMA (3, 2, 9) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222b40>	0.008	0.168	0.071	0.355	0.82	-3.099
ARIMA (3, 2, 10) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422226f0>	0.01	0.075	0.077	0.226	0.789	-0.832
ARIMA (3, 2, 11) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222510>	0.008	0.127	0.069	0.301	0.824	-2.086
ARIMA (3, 2, 12) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222810>	0.008	0.099	0.069	0.266	0.821	-1.401
ARIMA (3, 2, 13) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222180>	0.008	0.091	0.068	0.253	0.823	-1.213
ARIMA (3, 2, 14) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf42222c90>	0.007	0.235	0.066	0.429	0.84	-4.716
ARIMA (3, 2, 15) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422226c0>	0.007	0.154	0.064	0.338	0.844	-2.745
ARIMA (3, 2, 16) - Italy	<built-in method ctime of datetime.datetime object at 0x7fcf422225d0>	0.007	0.17	0.065	0.357	0.843	-3.125
